,index,occgrpnm2,%,year,candidate
0,Legal,764,0.3403118040089087,00,gore
1,Healthcare practitioners,260,0.11581291759465479,00,gore
2,"Education, training, library",204,0.09086859688195992,00,gore
3,Personal care and service,184,0.08195991091314031,00,gore
4,Management,171,0.07616926503340757,00,gore
5,Arts and entertainment,162,0.07216035634743875,00,gore
6,Sales and related,98,0.04365256124721604,00,gore
7,"Life, physical, social science",95,0.042316258351893093,00,gore
8,Business and financial,93,0.04142538975501114,00,gore
9,Computer and mathematical,75,0.0334075723830735,00,gore
10,Architecture and engineering,62,0.027616926503340758,00,gore
11,Community and social service,29,0.012917594654788419,00,gore
12,Administrative support,20,0.008908685968819599,00,gore
13,Transportation and material moving,10,0.004454342984409799,00,gore
14,Construction and extraction,6,0.0026726057906458797,00,gore
15,Production,5,0.0022271714922048997,00,gore
16,Protective service,3,0.0013363028953229399,00,gore
17,"Farming, fishing, forestry",3,0.0013363028953229399,00,gore
18,"Installation, maintenance, repair",1,0.00044543429844097997,00,gore
