,index,occgrpnm2,%,year,candidate
0,Legal,3999,0.3604326273095989,04,kerry
1,Arts and entertainment,1109,0.09995493465525011,04,kerry
2,Management,1034,0.09319513294276702,04,kerry
3,"Education, training, library",879,0.07922487607030194,04,kerry
4,Healthcare practitioners,842,0.07589004055881028,04,kerry
5,Personal care and service,690,0.06219017575484453,04,kerry
6,Business and financial,616,0.0555205047318612,04,kerry
7,Sales and related,479,0.04317260027039207,04,kerry
8,"Life, physical, social science",472,0.04254168544389365,04,kerry
9,Architecture and engineering,317,0.02857142857142857,04,kerry
10,Computer and mathematical,230,0.020730058584948176,04,kerry
11,Community and social service,159,0.014330779630464172,04,kerry
12,Administrative support,116,0.010455159981973862,04,kerry
13,Transportation and material moving,35,0.0031545741324921135,04,kerry
14,Construction and extraction,32,0.0028841820639927897,04,kerry
15,Production,29,0.0026137899954934655,04,kerry
16,Protective service,16,0.0014420910319963948,04,kerry
17,Healthcare support,12,0.001081568273997296,04,kerry
18,Food preparation and serving,12,0.001081568273997296,04,kerry
19,Building and grounds maintenance,8,0.0007210455159981974,04,kerry
20,"Installation, maintenance, repair",7,0.0006309148264984228,04,kerry
21,"Farming, fishing, forestry",2,0.00018026137899954936,04,kerry
