,index,occgrpnm2,%,year,candidate
0,"Education, training, library",7572,0.17103747374127531,12,obama
1,Healthcare practitioners,6655,0.150324139956179,12,obama
2,Legal,4849,0.10952994059316483,12,obama
3,Arts and entertainment,3181,0.07185290596553048,12,obama
4,Business and financial,2702,0.061033181992726615,12,obama
5,Personal care and service,2492,0.05628967043888776,12,obama
6,Sales and related,2475,0.05590567188452938,12,obama
7,Management,2343,0.05292403605068781,12,obama
8,"Life, physical, social science",2311,0.05220121524248379,12,obama
9,Architecture and engineering,1998,0.045131124212238256,12,obama
10,Computer and mathematical,1937,0.04375324704659935,12,obama
11,Administrative support,1797,0.040590906010706786,12,obama
12,Community and social service,1556,0.03514716179892029,12,obama
13,Transportation and material moving,722,0.016308644485103115,12,obama
14,Construction and extraction,371,0.008380203745115312,12,obama
15,Protective service,301,0.006799033227169027,12,obama
16,Healthcare support,270,0.006098800569221387,12,obama
17,Production,248,0.005601861263581125,12,obama
18,"Installation, maintenance, repair",191,0.004314336698967722,12,obama
19,Food preparation and serving,171,0.0038625736938402116,12,obama
20,Building and grounds maintenance,108,0.002439520227688555,12,obama
21,"Farming, fishing, forestry",21,0.00047435115538388563,12,obama
