,index,occgrpnm2,%,year,candidate
0,Healthcare practitioners,7193,0.15850944269375702,08,mccain
1,Personal care and service,6348,0.1398884946781551,08,mccain
2,Management,6265,0.1380594548139007,08,mccain
3,Legal,5767,0.12708521562837435,08,mccain
4,Sales and related,4348,0.09581524493708543,08,mccain
5,Business and financial,3676,0.08100663302408603,08,mccain
6,Architecture and engineering,2653,0.0584631657815289,08,mccain
7,"Education, training, library",1788,0.03940148526851627,08,mccain
8,Administrative support,1248,0.027501707838427467,08,mccain
9,Arts and entertainment,1179,0.025981180722360563,08,mccain
10,Computer and mathematical,1052,0.02318252936380264,08,mccain
11,"Life, physical, social science",977,0.021529782498512527,08,mccain
12,Transportation and material moving,616,0.013574560920249454,08,mccain
13,Construction and extraction,523,0.011525154807289715,08,mccain
14,Protective service,521,0.011481081557548645,08,mccain
15,Community and social service,415,0.009145199321271953,08,mccain
16,Production,278,0.0061261817140086825,08,mccain
17,"Installation, maintenance, repair",221,0.004870094096388197,08,mccain
18,"Farming, fishing, forestry",110,0.002424028735758831,08,mccain
19,Building and grounds maintenance,76,0.001674783490160647,08,mccain
20,Food preparation and serving,66,0.0014544172414552986,08,mccain
21,Healthcare support,59,0.0013001608673615548,08,mccain
