,index,occgrpnm2,%,year,candidate
0,Healthcare practitioners,1944,0.17507204610951008,12,romney
1,Management,1387,0.1249099423631124,12,romney
2,Personal care and service,1303,0.11734510086455331,12,romney
3,Sales and related,1257,0.11320244956772334,12,romney
4,Legal,1155,0.10401657060518732,12,romney
5,Business and financial,1024,0.09221902017291066,12,romney
6,Architecture and engineering,750,0.06754322766570606,12,romney
7,"Education, training, library",415,0.03737391930835735,12,romney
8,Administrative support,312,0.028097982708933718,12,romney
9,Arts and entertainment,312,0.028097982708933718,12,romney
10,Computer and mathematical,305,0.02746757925072046,12,romney
11,"Life, physical, social science",209,0.018822046109510087,12,romney
12,Transportation and material moving,205,0.018461815561959655,12,romney
13,Construction and extraction,158,0.014229106628242075,12,romney
14,Protective service,96,0.008645533141210375,12,romney
15,Community and social service,73,0.006574207492795389,12,romney
16,Production,60,0.005403458213256484,12,romney
17,"Installation, maintenance, repair",41,0.003692363112391931,12,romney
18,Healthcare support,40,0.0036023054755043226,12,romney
19,"Farming, fishing, forestry",26,0.0023414985590778097,12,romney
20,Building and grounds maintenance,22,0.0019812680115273776,12,romney
21,Food preparation and serving,10,0.0009005763688760807,12,romney
