,index,occgrpnm2,%,year,candidate
0,Healthcare practitioners,9638,0.16591781576546333,16,trump
1,Management,8402,0.14464012119334124,16,trump
2,Sales and related,7900,0.13599820964382242,16,trump
3,Business and financial,4369,0.0752121744220076,16,trump
4,Architecture and engineering,4008,0.06899757269018231,16,trump
5,Legal,3654,0.06290347570107938,16,trump
6,Personal care and service,3565,0.06137134397218062,16,trump
7,Administrative support,2332,0.04014529428979669,16,trump
8,Construction and extraction,2205,0.0379589939575479,16,trump
9,Transportation and material moving,2143,0.036891666236292586,16,trump
10,"Education, training, library",1808,0.031124653548864675,16,trump
11,Computer and mathematical,1634,0.02812924994405137,16,trump
12,Arts and entertainment,1242,0.02138098435159841,16,trump
13,Production,943,0.016233710341028423,16,trump
14,"Life, physical, social science",923,0.015889411076107352,16,trump
15,Protective service,913,0.015717261443646817,16,trump
16,"Installation, maintenance, repair",822,0.014150699788255953,16,trump
17,Community and social service,656,0.011293015889411076,16,trump
18,Healthcare support,257,0.004424245554235742,16,trump
19,Building and grounds maintenance,250,0.004303740811513367,16,trump
20,Food preparation and serving,227,0.003907796656854138,16,trump
21,"Farming, fishing, forestry",198,0.003408562722718587,16,trump
